𝜆,FI*,t1*,t2*,t3*
4.45475220370370373,.521540355799593575e-4,.867156113493058357e-2,.541428845111882259e-2,.235134780270805773e-2
4.50394298198198229,.564240808876349424e-4,.897869061192970754e-2,.556654864029414685e-2,.240877813564898931e-2
4.55317289189189189,.609786049302117489e-4,.929245174208085528e-2,.572078349524183984e-2,.246673384349705999e-2
4.60338428378378417,.659273195943107268e-4,.961902463502397991e-2,.587996199306908569e-2,.252632352377969239e-2
4.65660751801801798,.715232544175023509e-4,.997237830794387749e-2,.605070006694369625e-2,.258999685762191815e-2
4.70540801201201209,.769856619419524864e-4,.103028330746391863e-1,.620902362436376483e-2,.264882272860489593e-2
4.75358036586586596,.827025334094090721e-4,.106350555219772384e-1,.636692932423759284e-2,.270729165590432490e-2
4.80507581931931949,.891857838257180028e-4,.109967564491599661e-1,.653745836312876871e-2,.277021591424560319e-2
4.85645917167167163,.960542163374907806e-4,.113643621750462651e-1,.670934487842849391e-2,.283341871216554603e-2
4.90257878178178164,.102572415853772052e-3,.116999419859347056e-1,.686504733377922473e-2,.289048411094537834e-2
4.95721078578578567,.110743559678985767e-3,.121042696558024895e-1,.705117138304877863e-2,.295847401607854561e-2
5.00292431331331322,.117969726938393888e-3,.124481927272019292e-1,.720826467238544575e-2,.301567430255928089e-2
5.05639141841841866,.126888307357944348e-3,.128568255799333293e-1,.739350559902361270e-2,.308291313532138393e-2
5.10742059059059095,.135886515919722139e-3,.132531332721237908e-1,.757174875155202948e-2,.314740350780407874e-2
5.15298356306306271,.144336201834897166e-3,.136121020362042263e-1,.773204151354078221e-2,.320522998561252170e-2
5.20422389089089066,.154322461391445345e-3,.140214530022831040e-1,.791353550872888993e-2,.327051717704246068e-2
5.25580387287287287,.164908789288697755e-3,.144394360903431704e-1,.809747958921406240e-2,.333648822189035014e-2
5.30713870420420442,.175993858005503472e-3,.148611907272074382e-1,.828172184774132215e-2,.340237287404701735e-2
5.35473266416416394,.186775383459489178e-3,.152572162558129477e-1,.845352085268530340e-2,.346363853564372534e-2
5.40401345295295332,.198465094858013688e-3,.156722192363021214e-1,.863234212560158760e-2,.352723972432646441e-2
5.45497971521521485,.211133243839491363e-3,.161065549692601707e-1,.881820948249816168e-2,.359316959787455911e-2
5.50578252802802837,.224362270869555902e-3,.165445366041424811e-1,.900434967202545788e-2,.365902001679769412e-2
5.55803946546546523,.238613231049802406e-3,.170001241594308315e-1,.919664473557523822e-2,.372686772247850240e-2
5.60406740440440476,.251719185577084698e-3,.174055127397854878e-1,.936664850727019112e-2,.378670190705788666e-2
