𝜆,FI*,t1*,t2*
2.95261919619619606,.115924571866474812e-4,.386245407843885695e-2,.209021400661889550e-2
3.00205366816816799,.131326199929834043e-4,.406320210232410332e-2,.217941673020048687e-2
3.05408112212212224,.149369976889069389e-4,.428149538223940480e-2,.227531140055733548e-2
3.10117849649649635,.167466322999276724e-4,.448535679265489422e-2,.236388009172573644e-2
3.15322991191191182,.189581577509991671e-4,.471762420333547098e-2,.246368842372876335e-2
3.20308609759759744,.213018364139518539e-4,.494699256955681305e-2,.256115688129104121e-2
3.25282093193193189,.238775483311859159e-4,.518256237223406208e-2,.266018538138226802e-2
3.30476915915915903,.268416291683925250e-4,.543585695459839792e-2,.276550931786739363e-2
3.35261537287287270,.298380474040906402e-4,.567571869875875459e-2,.286419671841747769e-2
3.40161644044044031,.331912192145362409e-4,.592791466741754685e-2,.296690840355822924e-2
3.45571944144144139,.372524358865927656e-4,.621407447774868435e-2,.308221020032286002e-2
3.50470527727727710,.412779022560908965e-4,.648014900006578520e-2,.318828997136920075e-2
3.55480246996997007,.457613586699823297e-4,.675911884520136088e-2,.329839721399568728e-2
3.60575002452452464,.507268522371551230e-4,.704992757662304802e-2,.341201854725296273e-2
3.65258074124124121,.556755555500757757e-4,.732354105705964632e-2,.351788935713488607e-2
3.70250076876876877,.613817649877423287e-4,.762183067009727065e-2,.363221770846411038e-2
3.75204080180180188,.675110165848995757e-4,.792458034759099469e-2,.374714188112369772e-2
3.80503323823823836,.746135655660134947e-4,.825580841008174103e-2,.387164767935363431e-2
3.85179676776776780,.813777140583256555e-4,.855439666806590872e-2,.398283068478684412e-2
3.90575217317317325,.897945269836773188e-4,.890617804595628809e-2,.411259403579204534e-2
3.95444276676676676,.979845669879805348e-4,.923026127800628295e-2,.423101435317993664e-2
4.00261956406406405,.106673581385257523e-3,.955704879444599364e-2,.434937459788043400e-2
4.05442509809809781,.116700729339275921e-3,.991516891806897352e-2,.447792301397299027e-2
4.10644019619619627,.127518198902623370e-3,.102816501216433029e-1,.460826731619783537e-2
4.15376623373373377,.138045889210929224e-3,.106210244013866372e-1,.472792651222319737e-2
4.20402438338338325,.149975154139871873e-3,.109875137385776270e-1,.485606230382610617e-2
4.25307142542542582,.162395082581929406e-3,.113511159884710777e-1,.498211820513443700e-2
4.30623893643643640,.176766600036539357e-3,.117517698449121407e-1,.511983211024743048e-2
4.35224361561561590,.189997413399598344e-3,.121037971662539580e-1,.523984246543613644e-2
4.40508166216216246,.206143208157173703e-3,.125140996805886435e-1,.537859497529274630e-2
4.45475220370370373,.222284596512156051e-3,.129055024087877737e-1,.550986843681718769e-2
4.50394298198198229,.239227194509337624e-3,.132984224477711785e-1,.564062112998024463e-2
4.55317289189189189,.257172882145775925e-3,.136967871788356964e-1,.577216903353924664e-2
4.60338428378378417,.276533439613557935e-3,.141082243770004317e-1,.590699602934995245e-2
4.65660751801801798,.298262981010387113e-3,.145498102077675755e-1,.605057014457290564e-2
4.70540801201201209,.319316964466098989e-3,.149594717957192286e-1,.618275182167635912e-2
4.75358036586586596,.341195178095589683e-3,.153681675399991013e-1,.631368251148465513e-2
4.80507581931931949,.365823505539081663e-3,.158095987731602557e-1,.645408021277455671e-2
4.85645917167167163,.391715202814795773e-3,.162545416967561571e-1,.659455696762303086e-2
4.90257878178178164,.416107048797068632e-3,.166575312721278096e-1,.672091693879359447e-2
4.95721078578578567,.446451230874920688e-3,.171391122601655017e-1,.687086722342732971e-2
