𝜆,FI*,t1*
10.8131082302302310,.332363391643841904e-1,.375950244029870997e-1
10.8586400555555560,.334115202687304685e-1,.375431322634383474e-1
10.9127817997998005,.336171883119665976e-1,.374801253043653623e-1
10.9586469589589584,.337891864396736227e-1,.374256771362623253e-1
11.0119990425425431,.339867051045335405e-1,.373611429332449604e-1
11.0592246766766760,.341592642106771163e-1,.373029780097516930e-1
11.1110386821821816,.343461449726763512e-1,.372380741632984055e-1
11.1603778683683679,.345217399256448620e-1,.371752469816893638e-1
11.2118581331331324,.347025196356064020e-1,.371086652635890940e-1
11.2591330865865871,.348663581465088260e-1,.370466284808858709e-1
11.3101255105105096,.350407656837812206e-1,.369787866751535091e-1
11.3630923078078077,.352194038702050155e-1,.369073352707241856e-1
11.4092000605605612,.353728341319106757e-1,.368443498961223415e-1
11.4589976966966969,.355363924377476784e-1,.367755305258013268e-1
11.5104435275275279,.357030391030360300e-1,.367035987275739634e-1
11.5607732362362370,.358638046287517373e-1,.366324370037524188e-1
11.6094698173173168,.360172402746345779e-1,.365628679192495018e-1
11.6635390680680686,.361851927366269449e-1,.364848295206276416e-1
11.7121226946946955,.363339618196376821e-1,.364140236064385975e-1
11.7639960860860864,.364905872170023307e-1,.363377361906283766e-1
11.8110010885885881,.366305547336408244e-1,.362680195744440950e-1
11.8623899719719716,.367814672076503049e-1,.361911860886907633e-1
11.9107429064064068,.369214726705409252e-1,.361183288631045582e-1
11.9612856551551552,.370657762803309546e-1,.360416130426959719e-1
12.0107004304304308,.372048621868406107e-1,.359660801017433751e-1
12.0624331206206215,.373483792935688716e-1,.358864680484778792e-1
12.1122578498498505,.374846014684956999e-1,.358092968634852044e-1
12.1632108318318313,.376218995114452059e-1,.357298986173457470e-1
12.2137418973973979,.377560770014567504e-1,.356507012121149713e-1
12.2601746986986981,.378776498953095828e-1,.355775448169702371e-1
12.3133919289289295,.380149806146570374e-1,.354932709522269990e-1
12.3609900540540547,.381360165562074152e-1,.354175266518413356e-1
12.4117395830830830,.382632217333008437e-1,.353364036068357368e-1
12.4603133578578582,.383832109640180399e-1,.352584248431349542e-1
12.5142482922922920,.385144483681056776e-1,.351714780860178725e-1
12.5609519824824822,.386264142763319065e-1,.350958983313186673e-1
12.6139610885885887,.387516350245829186e-1,.350098073591852896e-1
12.6622731341341339,.388640568477205336e-1,.349310768557490395e-1
12.7151189194194192,.389851919492551144e-1,.348446838993725500e-1
12.7607158948948953,.390881874705187940e-1,.347699255498802248e-1
12.8126455275275273,.392037897656244694e-1,.346845571733233396e-1
12.8628069889889893,.393137605507744570e-1,.346018813148027543e-1
12.9129356811811817,.394220165015076382e-1,.345190646005904059e-1
12.9628799589589594,.395282616094584649e-1,.344363735764235124e-1
13.0108607742742741,.396288331232214630e-1,.343567784501348367e-1
13.0627293063063057,.397359249879380497e-1,.342705776817440327e-1
13.1121637782782781,.398364368591394222e-1,.341882845016305281e-1
13.1641912322322323,.399406041915949389e-1,.341015440565212019e-1
13.2112886066066064,.400334895374946237e-1,.340229193546125394e-1
13.2633400220220228,.401346060114374445e-1,.339359227416087678e-1
13.3131962077077084,.402299626399466870e-1,.338525074440668011e-1
13.3629310420420424,.403236490653119464e-1,.337692215758417999e-1
13.4148792692692691,.404199920433262125e-1,.336821629913274870e-1
13.4627254829829823,.405073783254131375e-1,.336019297340988746e-1
13.5117265505505504,.405955509946918924e-1,.335197213671770619e-1
13.5658295515515519,.406913704893860501e-1,.334289201854073223e-1
13.6148153873873881,.407767581114196337e-1,.333466875088012857e-1
13.6649125800800793,.408627561130294747e-1,.332625800546189343e-1
13.7158601346346352,.409488568051233834e-1,.331770454947842575e-1
13.7626908513513513,.410268095291845547e-1,.330984316339174023e-1
13.8126108788788784,.411086660660310924e-1,.330146500978833676e-1
13.8621509119119111,.411886532069652700e-1,.329315335715079510e-1
13.9151433483483480,.412728598567680335e-1,.328426643784427846e-1
13.9619068778778779,.413460217773724131e-1,.327642830452526332e-1
14.0158622832832833,.414291188650415254e-1,.326739051628214261e-1
14.0645528768768777,.415029138571500616e-1,.325924072548114674e-1
14.1127296741741741,.415748314787614051e-1,.325118336822528622e-1
14.1645352082082088,.416509638932675494e-1,.324252703056405259e-1
14.2165503063063063,.417261691588891523e-1,.323384471688164463e-1
14.2638763438438438,.417935351161946092e-1,.322595363441003785e-1
14.3141344934934942,.418639852341099600e-1,.321758322864258567e-1
14.3631815355355350,.419316709454053554e-1,.320942466789201283e-1
14.4163490465465465,.420038703227740770e-1,.320059272098944803e-1
14.4623537257257251,.420653725599931250e-1,.319296128184376402e-1
14.5151917722722725,.421349158308893107e-1,.318420912539461032e-1
14.5648623138138138,.421992387916620970e-1,.317599473278959710e-1
14.6140530920920924,.422619512045992810e-1,.316787274413044342e-1
14.6632830020020020,.423237421987695817e-1,.315975783100323690e-1
14.7134943938938942,.423857787936281344e-1,.315149560622448380e-1
14.7667176281281289,.424504654610934479e-1,.314275431663638624e-1
14.8155181221221213,.425088226960377499e-1,.313475485974252094e-1
14.8636904759759751,.425655469087861532e-1,.312687331171325397e-1
14.9151859294294287,.426252295420161270e-1,.311846495387750160e-1
14.9665692817817817,.426838138072473464e-1,.311009276904551935e-1
15.0126888918918926,.427355850967498646e-1,.310259382163920287e-1
15.0673208958958966,.427959336374156563e-1,.309373032003729988e-1
15.1130344234234233,.428456271780561851e-1,.308633039934420976e-1
15.1665015285285278,.429028350263689282e-1,.307769502668774030e-1
15.2175307007007010,.429565288561849362e-1,.306947357434734294e-1
15.2630936731731737,.430037349899967392e-1,.306214976507574489e-1
15.3143340010010007,.430560060211413256e-1,.305393283984001472e-1
15.3659139829829829,.431077628990729142e-1,.304568260998958340e-1
15.4172488143143145,.431584298378017012e-1,.303749302345084418e-1
15.4648427742742740,.432046639247868416e-1,.302991962157618082e-1
15.5141235630630625,.432517969839802396e-1,.302209774770594505e-1
15.5650898253253249,.432997623938979337e-1,.301402998883292875e-1
15.6158926381381384,.433467971670814106e-1,.300601028281215557e-1
